city|location|price|bedrooms|baths|size
Lahore|Gulberg City Centre, Main Boulevard Gulberg|24200000|0|0|0.0
Lahore|Century Venture 1, MM Alam Road|63300000|0|0|0.0
Lahore|Amanah Mall Service Apartments, Model Town Link Road|17900000|0|1|0.0
Lahore|102 Icon Residential Towers, Raiwind Road|10000000|1|1|540
Lahore|DHA Phase 8, DHA Defence|75500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|69500000|5|6|4500
Lahore|DHA Phase 1 - Block K, DHA Phase 1|40000000|3|4|2925
Lahore|DHA Phase 4, DHA Defence|52500000|4|5|2250
Lahore|Bahria Town - Umar Block, Bahria Town - Sector B|24500000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|91500000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|24900000|4|5|1125
Lahore|Tariq Gardens - Block E, Tariq Gardens|25000000|3|5|1125
Lahore|Valencia Housing Society, Lahore|65000000|5|5|4500
Lahore|Low Cost - Block G, Low Cost Sector|15000000|3|4|1125
Lahore|DHA 9 Town, DHA Defence|20400000|3|5|1125
Lahore|Sabzazar Scheme - Block J, Sabzazar Scheme|18000000|4|5|1125
Lahore|DHA 9 Town, DHA Defence|20800000|3|4|1125
Lahore|DHA 9 Town, DHA Defence|20900000|3|4|1125
Lahore|DHA 9 Town, DHA Defence|20800000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|63500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|160000000|5|6|4950
Lahore|DHA Phase 7, DHA Defence|75500000|5|6|4500
Lahore|Lake City - Sector M-1, Lake City|77500000|6|6|3150
Lahore|Lake City, Raiwind Road|47500000|6|6|2250
Lahore|102 Icon Residential Towers, Raiwind Road|8520000|1|1|472
Lahore|Pearl One Residencies, MM Alam Road|15200000|1|1|405
